festival_a,festival_b,shared_film_count
Clermont-Ferrand International Short Film Festival,Edinburgh International Film Festival,6
Palm Springs International ShortFest,Miami International Film Festival,6
Internationale Kurzfilmtage Winterthur,BFI London Film Festival,6
Dokufest International Documentary and Short Film Festival,Las Palmas Film Festival,6
Hong Kong International Film Festival,DOK Leipzig,6
Ghent Film Festival,Sarajevo Film Festival,6
Cinequest San Jose Film Festival,Encounters Short Film and Animation Festival,6
Curtacinema - Rio de Janeiro International Short Film Festival,Internationale Kurzfilmtage Winterthur,6
Helsinki International Film Festival - Love & Anarchy,Philadelphia Film Festival,6
Guanajuato International Film Festival,Sitges - Catalonian International Film Festival,6
Seattle International Film Festival,Locarno International Film Festival,6
Seattle International Film Festival,Internationale Kurzfilmtage Winterthur,6
BFI London Film Festival,Curtas Vila do Conde International Film Festival,6
Helsinki International Film Festival - Love & Anarchy,Queer Lisboa,6
Warsaw International Film Festival,Annecy International Animation Festival,6
Cannes Film Festival,Sarajevo Film Festival,6
Solothurn Film Festival,Krakow Film Festival,6
Ghent Film Festival,Valladolid International Film Festival,6
Locarno International Film Festival,Curtas Vila do Conde International Film Festival,6
Encounters Short Film and Animation Festival,Filmfestival Max Ophüls Preis,6
Helsinki International Film Festival - Love & Anarchy,Oberhausen International Short Film Festival,6
Toronto International Film Festival,Stockholm International Film Festival,6
Seattle International Film Festival,Kurzfilm Festival Hamburg,6
Bilbao International Festival of Documentary and Short Films,IndieLisboa International Independent Film Festival,6
Outfest: Los Angeles Gay & Lesbian Film Festival,Frameline: San Francisco International LGBTQ Film Festival,6
Valladolid International Film Festival,Guanajuato International Film Festival,6
Internationale Kurzfilmtage Winterthur,Milwaukee International Film Festival,6
FEST - New Directors / New Films,Athens International Film and Video Festival,6
Warsaw International Film Festival,Guanajuato International Film Festival,6
Toronto International Film Festival,DOK Leipzig,6
Hong Kong International Film Festival,Athens International Film and Video Festival,6
Encounters Short Film and Animation Festival,Cinéma du Réel,6
Irish Film and Television Awards,Encounters Short Film and Animation Festival,6
Encounters Short Film and Animation Festival,Hawaii International Film Festival,6
Krakow Film Festival,Edinburgh International Film Festival,6
Tallinn Black Nights Film Festival,Raindance Film Festival,6
Cannes Film Festival,Guanajuato International Film Festival,6
Chicago International Film Festival,Helsinki International Film Festival - Love & Anarchy,6
Sundance Film Festival,SXSW Film Festival,6
Las Palmas Film Festival,Curtas Vila do Conde International Film Festival,6
Krakow Film Festival,Ann Arbor Film Festival,6
Ghent Film Festival,Ann Arbor Film Festival,6
Internationale Kurzfilmtage Winterthur,European Film Awards,6
Palm Springs International ShortFest,Frameline: San Francisco International LGBTQ Film Festival,6
Porto/Post/Doc,Encounters Short Film and Animation Festival,6
Encounters Short Film and Animation Festival,Inside Out Toronto LGBT Film Festival,5
Singapore International Film Festival,Festival du Nouveau Cinéma,5
Seattle International Film Festival,DOK Leipzig,5
Cartagena Film Festival,Encounters Short Film and Animation Festival,5
AFI Fest,Ottawa International Animation Festival,5
Chicago International Film Festival,Annecy International Animation Festival,5
AFI Fest,Sarajevo Film Festival,5
Solothurn Film Festival,IndieLisboa International Independent Film Festival,5
Cannes Film Festival,Milwaukee International Film Festival,5
Ann Arbor Film Festival,Palm Springs International ShortFest,5
Palm Springs International ShortFest,Kurzfilm Festival Hamburg,5
Tallinn Black Nights Film Festival,Outfest: Los Angeles Gay & Lesbian Film Festival,5
Krakow Film Festival,Slamdance Film Festival,5
Locarno International Film Festival,Vancouver International Film Festival,5
Krakow Film Festival,Uppsala Short Film Festival,5
San Francisco International Film Festival,Annecy International Animation Festival,5
Viennale,BFI London Film Festival,5
Tallinn Black Nights Film Festival,Queer Lisboa,5
Krakow Film Festival,Kurzfilm Festival Hamburg,5
Tallinn Black Nights Film Festival,Go Short - International Short Film Festival Nijmegen,5
Guadalajara International Film Festival,Hong Kong International Film Festival,5
Ghent Film Festival,Telluride Film Festival,5
Beijing International Short Film Festival,Annecy International Animation Festival,5
Milwaukee International Film Festival,Landshut Short Film Festival,5
Palm Springs International ShortFest,Athens International Film Festival,5
New York Film Festival,Guanajuato International Film Festival,5
Sundance Film Festival,Helsinki International Film Festival - Love & Anarchy,5
Internationale Kurzfilmtage Winterthur,Queer Lisboa,5
Milwaukee International Film Festival,San Francisco International Film Festival,5
Internationale Kurzfilmtage Winterthur,Hong Kong International Film Festival,5
SXSW Film Festival,Toronto International Film Festival,5
Curtacinema - Rio de Janeiro International Short Film Festival,IndieLisboa International Independent Film Festival,5
Warsaw International Film Festival,Bilbao International Festival of Documentary and Short Films,5
São Paulo International Short Film Festival – Curta Kinoforum,Buenos Aires International Festival of Independent Cinema,5
Uppsala Short Film Festival,Curtas Vila do Conde International Film Festival,5
Cannes Film Festival,Reykjavik International Film Festival,5
Dokufest International Documentary and Short Film Festival,Leiden Shorts,5
Berwick Film & Media Arts Festival,Encounters Short Film and Animation Festival,5
New York Film Festival,Dokufest International Documentary and Short Film Festival,5
Krakow Film Festival,Milwaukee International Film Festival,5
Sarajevo Film Festival,Riga International Film Festival,5
Palm Springs International ShortFest,International Film Festival Rotterdam,5
Athens International Film and Video Festival,Cinéma du Réel,5
Chicago International Film Festival,Athens International Film and Video Festival,5
Guadalajara International Film Festival,Athens International Film and Video Festival,5
Helsinki International Film Festival - Love & Anarchy,Frameline: San Francisco International LGBTQ Film Festival,5
Encounters Short Film and Animation Festival,San Diego International Film Festival,5
Dokufest International Documentary and Short Film Festival,IndieLisboa International Independent Film Festival,5
Clermont-Ferrand International Short Film Festival,Chicago International Film Festival,5
Kurzfilm Festival Hamburg,International Film Festival Rotterdam,5
Dokufest International Documentary and Short Film Festival,BFI London Film Festival,5
Slamdance Film Festival,DOK Leipzig,5
Tallinn Black Nights Film Festival,Venice Film Festival,5
Uppsala Short Film Festival,Hong Kong International Film Festival,5
FEST - New Directors / New Films,Landshut Short Film Festival,5
Locarno International Film Festival,Annecy International Animation Festival,5
Palm Springs International ShortFest,Landshut Short Film Festival,5
Encounters Short Film and Animation Festival,Experimental Film and Video Festival in Seoul,5
Clermont-Ferrand International Short Film Festival,European Film Awards,5
SXSW Film Festival,Outfest: Los Angeles Gay & Lesbian Film Festival,5
New York Film Festival,BFI London Film Festival,5
San Francisco International Film Festival,BFI London Film Festival,5
Ghent Film Festival,Stockholm International Film Festival,5
Calgary International Film Festival,Vancouver International Film Festival,5
FEST - New Directors / New Films,Milwaukee International Film Festival,5
Chicago International Film Festival,BFI London Film Festival,5
Encounters Short Film and Animation Festival,Cairo International Film Festival,5
Ghent Film Festival,Bilbao International Festival of Documentary and Short Films,5
FEST - New Directors / New Films,Kurzfilm Festival Hamburg,5
Viennale,International Film Festival Rotterdam,5
New York Film Festival,Kurzfilm Festival Hamburg,5
Kurzfilm Festival Hamburg,Melbourne International Film Festival,5
Ghent Film Festival,São Paulo International Short Film Festival – Curta Kinoforum,5
Ghent Film Festival,Leiden Shorts,5
Palm Springs International ShortFest,Shorts México,5
São Paulo International Short Film Festival – Curta Kinoforum,Athens International Film and Video Festival,5
FEST - New Directors / New Films,Bilbao International Festival of Documentary and Short Films,5
Athens International Film and Video Festival,Sitges - Catalonian International Film Festival,5
São Paulo International Short Film Festival – Curta Kinoforum,Valladolid International Film Festival,5
Tallinn Black Nights Film Festival,Rome Independent Film Festival,5
Go Short - International Short Film Festival Nijmegen,Curtas Vila do Conde International Film Festival,5
Berlin International Film Festival,BFI London Film Festival,5
Ottawa International Animation Festival,Milwaukee International Film Festival,5
Kurzfilm Festival Hamburg,Landshut Short Film Festival,5
Melbourne International Film Festival,Stockholm International Film Festival,5
Ghent Film Festival,IndieLisboa International Independent Film Festival,5
Encounters Short Film and Animation Festival,Golden Horse Film Festival,5
Camerimage,Encounters Short Film and Animation Festival,5
Chicago International Film Festival,Locarno International Film Festival,5
Encounters Short Film and Animation Festival,Cork International Film Festival,5
Clermont-Ferrand International Short Film Festival,Academy Awards,5
Clermont-Ferrand International Short Film Festival,César Awards,5
Internationale Kurzfilmtage Winterthur,Oberhausen International Short Film Festival,5
Athens International Film and Video Festival,BFI London Film Festival,5
Off-Courts Trouville,Encounters Short Film and Animation Festival,5
Seattle International Film Festival,IndieLisboa International Independent Film Festival,5
MIX Copenhagen LGBTQ+ Film Festival,Outfest: Los Angeles Gay & Lesbian Film Festival,5
Sarajevo Film Festival,Athens International Film and Video Festival,5
BFI London Film Festival,Annecy International Animation Festival,5
FEST - New Directors / New Films,Annecy International Animation Festival,5
São Paulo International Short Film Festival – Curta Kinoforum,Locarno International Film Festival,5
DocumentaMadrid,Encounters Short Film and Animation Festival,5
Ghent Film Festival,Reykjavik International Film Festival,5
Krakow Film Festival,Seville European Film Festival,5
FEST - New Directors / New Films,IndieLisboa International Independent Film Festival,5
Tallinn Black Nights Film Festival,Milan Film Festival,5
Festival du Nouveau Cinéma,Vilnius International Film Festival (Kino Pavasaris),5
AFI Fest,Festival du Nouveau Cinéma,5
Tallinn Black Nights Film Festival,Oberhausen International Short Film Festival,5
AFI Fest,Curtas Vila do Conde International Film Festival,5
Guanajuato International Film Festival,Milan Film Festival,5
Vancouver International Film Festival,BFI London Film Festival,5
Kurzfilm Festival Hamburg,Viennale,5
Riga International Film Festival,Festival du Nouveau Cinéma,5
São Paulo International Short Film Festival – Curta Kinoforum,IndieLisboa International Independent Film Festival,5
Clermont-Ferrand International Short Film Festival,Raindance Film Festival,5
Seattle International Film Festival,San Francisco International Film Festival,5
Clermont-Ferrand International Short Film Festival,Jerusalem Film Festival,5
Edinburgh International Film Festival,Palm Springs International ShortFest,5
Kurzfilm Festival Hamburg,Annecy International Animation Festival,5
Uppsala Short Film Festival,IndieLisboa International Independent Film Festival,5
Krakow Film Festival,Melbourne International Film Festival,5
AFI Fest,BFI London Film Festival,5
Berlin International Film Festival,Melbourne International Film Festival,5
Uppsala Short Film Festival,Dokufest International Documentary and Short Film Festival,5
Slamdance Film Festival,Annecy International Animation Festival,5
Seattle International Film Festival,São Paulo International Short Film Festival – Curta Kinoforum,5
Jerusalem Film Festival,Palm Springs International ShortFest,5
Warsaw International Film Festival,Chicago International Film Festival,5
Tallinn Black Nights Film Festival,Beijing International Short Film Festival,5
Encounters Short Film and Animation Festival,Shorts México,5
São Paulo International Short Film Festival – Curta Kinoforum,International Film Festival Rotterdam,5
Edinburgh International Film Festival,Festival du Nouveau Cinéma,5
Chicago International Film Festival,Dokufest International Documentary and Short Film Festival,5
Encounters Short Film and Animation Festival,BFI Flare: London LGBTIQ+ Film Festival,5
Curtacinema - Rio de Janeiro International Short Film Festival,Milan Film Festival,5
DOK Leipzig,European Film Awards,5
Helsinki International Film Festival - Love & Anarchy,Calgary International Film Festival,5
Milwaukee International Film Festival,Curtas Vila do Conde International Film Festival,5
Clermont-Ferrand International Short Film Festival,Go Short - International Short Film Festival Nijmegen,5
SXSW Film Festival,Sarajevo Film Festival,5
Milwaukee International Film Festival,Fantasia Film Festival,5
Seville European Film Festival,Moscow International Film Festival,5
São Paulo International Short Film Festival – Curta Kinoforum,Internationale Kurzfilmtage Winterthur,5
Seville European Film Festival,Annecy International Animation Festival,5
New Directors New Films,Encounters Short Film and Animation Festival,5
Curtacinema - Rio de Janeiro International Short Film Festival,Bilbao International Festival of Documentary and Short Films,5
Athens International Film and Video Festival,San Francisco International Film Festival,5
Dokufest International Documentary and Short Film Festival,DOK Leipzig,5
Bilbao International Festival of Documentary and Short Films,Melbourne International Film Festival,5
AFI Fest,Telluride Film Festival,5
FEST - New Directors / New Films,Ottawa International Animation Festival,5
European Film Awards,Festival du Nouveau Cinéma,5
Tallinn Black Nights Film Festival,San Sebastián International Film Festival,5
Clermont-Ferrand International Short Film Festival,Vilnius International Film Festival (Kino Pavasaris),5
Ottawa International Animation Festival,DOK Leipzig,5
Krakow Film Festival,Locarno International Film Festival,5
Bilbao International Festival of Documentary and Short Films,Vancouver International Film Festival,5
Tallinn Black Nights Film Festival,Leiden Shorts,5
Helsinki International Film Festival - Love & Anarchy,International Film Festival Rotterdam,5
Seattle International Film Festival,Melbourne International Film Festival,5
Ghent Film Festival,San Sebastián International Film Festival,5
Encounters Short Film and Animation Festival,New Horizons International Film Festival,5
Athens International Film and Video Festival,Reykjavik International Film Festival,5
Ghent Film Festival,European Film Awards,5
Seville European Film Festival,Guanajuato International Film Festival,5
Academy Awards,Tallinn Black Nights Film Festival,5
Berlin International Film Festival,Festival du Nouveau Cinéma,5
Encounters Short Film and Animation Festival,Shanghai International Film Festival,5
Tallinn Black Nights Film Festival,Berlin International Film Festival,5
Sitges - Catalonian International Film Festival,Melbourne International Film Festival,5
Ann Arbor Film Festival,Guanajuato International Film Festival,5
Bilbao International Festival of Documentary and Short Films,Ottawa International Animation Festival,5
Bilbao International Festival of Documentary and Short Films,Uppsala Short Film Festival,5
Festival du Nouveau Cinéma,Milan Film Festival,5
Helsinki International Film Festival - Love & Anarchy,Nordisk Panorama,5
Cannes Film Festival,Chicago International Film Festival,5
Clermont-Ferrand International Short Film Festival,OFF - Odense International Film Festival,5
Tallinn Black Nights Film Festival,Vienna Shorts,5
Cannes Film Festival,BFI London Film Festival,5
Ottawa International Animation Festival,Kurzfilm Festival Hamburg,5
Helsinki International Film Festival - Love & Anarchy,European Film Awards,5
SXSW Film Festival,Sitges - Catalonian International Film Festival,5
Buenos Aires International Festival of Independent Cinema,Guanajuato International Film Festival,5
AFI Fest,DOK Leipzig,5
New York Film Festival,Melbourne International Film Festival,5
Guanajuato International Film Festival,Mill Valley Film Festival,5
Sundance Film Festival,Toronto International Film Festival,5
Riga International Film Festival,Melbourne International Film Festival,5
Seville European Film Festival,Reykjavik International Film Festival,5
Sundance Film Festival,Calgary International Film Festival,5
SXSW Film Festival,AFI Fest,5
Milwaukee International Film Festival,Frameline: San Francisco International LGBTQ Film Festival,5
Oberhausen International Short Film Festival,Vilnius International Film Festival (Kino Pavasaris),5
FEST - New Directors / New Films,International Film Festival Rotterdam,5
Annecy International Animation Festival,Curtas Vila do Conde International Film Festival,5
Athens International Film and Video Festival,International Film Festival Rotterdam,5
Riga International Film Festival,IndieLisboa International Independent Film Festival,5
Locarno International Film Festival,Uppsala Short Film Festival,5
Ann Arbor Film Festival,Internationale Kurzfilmtage Winterthur,5
FEST - New Directors / New Films,DOK Leipzig,5
Tallinn Black Nights Film Festival,Dublin International Film Festival,5
Curtacinema - Rio de Janeiro International Short Film Festival,Melbourne International Film Festival,5
Curtacinema - Rio de Janeiro International Short Film Festival,Vancouver International Film Festival,5
Visions du Réel,Encounters Short Film and Animation Festival,5
Helsinki International Film Festival - Love & Anarchy,Riga International Film Festival,5
Palm Springs International ShortFest,Tribeca Film Festival,5
Tallinn Black Nights Film Festival,Athens International Film Festival,5
Helsinki International Film Festival - Love & Anarchy,Moscow International Film Festival,5
Palm Springs International ShortFest,Uppsala Short Film Festival,5
Locarno International Film Festival,DOK Leipzig,5
MIX Copenhagen LGBTQ+ Film Festival,Queer Lisboa,5
Outfest: Los Angeles Gay & Lesbian Film Festival,Queer Lisboa,5
Clermont-Ferrand International Short Film Festival,Solothurn Film Festival,5
Ghent Film Festival,Riga International Film Festival,5
Bilbao International Festival of Documentary and Short Films,Telluride Film Festival,5
Camden International Film Festival,Encounters Short Film and Animation Festival,5
RiverRun International Film Festival,Encounters Short Film and Animation Festival,5
Chicago International Film Festival,Stockholm International Film Festival,5
Diagonale: Festival of Austrian Film,Festival du Nouveau Cinéma,5
Valladolid International Film Festival,Dokufest International Documentary and Short Film Festival,5
FEST - New Directors / New Films,Reykjavik International Film Festival,5
SXSW Film Festival,Calgary International Film Festival,5
Dokufest International Documentary and Short Film Festival,Cinéma du Réel,5
New York Film Festival,Toronto International Film Festival,5
São Paulo International Short Film Festival – Curta Kinoforum,Toronto International Film Festival,5
Solothurn Film Festival,Bilbao International Festival of Documentary and Short Films,5
Internationale Kurzfilmtage Winterthur,Leiden Shorts,5
Jerusalem Film Festival,Tallinn Black Nights Film Festival,5
BFI London Film Festival,Stockholm International Film Festival,5
Encounters Short Film and Animation Festival,César Awards,5
Curtacinema - Rio de Janeiro International Short Film Festival,Curtas Vila do Conde International Film Festival,5
Valladolid International Film Festival,Helsinki International Film Festival - Love & Anarchy,5
Helsinki International Film Festival - Love & Anarchy,Ottawa International Animation Festival,5
Outfest: Los Angeles Gay & Lesbian Film Festival,Milwaukee International Film Festival,5
Guadalajara International Film Festival,IndieLisboa International Independent Film Festival,5
São Paulo International Short Film Festival – Curta Kinoforum,BFI London Film Festival,5
Ann Arbor Film Festival,IndieLisboa International Independent Film Festival,5
Seattle International Film Festival,Landshut Short Film Festival,5
Encounters Short Film and Animation Festival,Los Angeles Asian Pacific Film Festival - VC Film Fest,5
Leiden Shorts,Melbourne International Film Festival,5
IndieLisboa International Independent Film Festival,BFI London Film Festival,5
Dokufest International Documentary and Short Film Festival,International Film Festival Rotterdam,5
Internationale Kurzfilmtage Winterthur,Reykjavik International Film Festival,5
Guanajuato International Film Festival,Vilnius International Film Festival (Kino Pavasaris),5
Brooklyn Film Festival,Tallinn Black Nights Film Festival,5
Warsaw International Film Festival,DOK Leipzig,5
AFI Fest,Reykjavik International Film Festival,5
Internationale Kurzfilmtage Winterthur,25FPS Festival,4
Cartagena Film Festival,Palm Springs International ShortFest,4
Telluride Film Festival,Melbourne International Film Festival,4
Sarajevo Film Festival,San Francisco International Film Festival,4
Thessaloniki Film Festival,Athens International Film Festival,4
Milwaukee International Film Festival,Mill Valley Film Festival,4
Internationale Kurzfilmtage Winterthur,Fantasia Film Festival,4
True/False Film Festival,Dokufest International Documentary and Short Film Festival,4
Ghent Film Festival,Guanajuato International Film Festival,4
Vancouver International Film Festival,Viennale,4
Clermont-Ferrand International Short Film Festival,Queer Lisboa,4
Reykjavik International Film Festival,Milwaukee International Film Festival,4
Montreal International Documentary Festival,Dokufest International Documentary and Short Film Festival,4
Encounters Short Film and Animation Festival,It's All True - International Documentary Festival,4
Whistler Film Festival,Encounters Short Film and Animation Festival,4
Beijing International Short Film Festival,Curtas Vila do Conde International Film Festival,4
Helsinki International Film Festival - Love & Anarchy,Fantasia Film Festival,4
San Sebastián International Film Festival,Curtas Vila do Conde International Film Festival,4
Cannes Film Festival,Riga International Film Festival,4
Queer Lisboa,Curtas Vila do Conde International Film Festival,4
OFF - Odense International Film Festival,Helsinki International Film Festival - Love & Anarchy,4
AFI Fest,Melbourne International Film Festival,4
25FPS Festival,Kurzfilm Festival Hamburg,4
Tirana International Film Festival,Curtas Vila do Conde International Film Festival,4
São Paulo International Short Film Festival – Curta Kinoforum,Hong Kong International Film Festival,4
Seattle International Film Festival,Curtas Vila do Conde International Film Festival,4
Encounters Short Film and Animation Festival,Seattle Queer Film Festival,4
Chicago International Film Festival,Bilbao International Festival of Documentary and Short Films,4
Tallinn Black Nights Film Festival,Côté Court,4
Seattle International Film Festival,Guadalajara International Film Festival,4
Bilbao International Festival of Documentary and Short Films,Viennale,4
Milwaukee International Film Festival,Côté Court,4
Uppsala Short Film Festival,Vancouver International Film Festival,4
Guadalajara International Film Festival,Calgary International Film Festival,4
Go Short - International Short Film Festival Nijmegen,Melbourne International Film Festival,4
Hollyshorts Film Festival,Guanajuato International Film Festival,4
Krakow Film Festival,SXSW Film Festival,4
Ann Arbor Film Festival,Kurzfilm Festival Hamburg,4
Ottawa International Animation Festival,Melbourne International Film Festival,4
Montreal International Documentary Festival,Cinéma du Réel,4
Clermont-Ferrand International Short Film Festival,Fantasia Film Festival,4
Seville European Film Festival,Palm Springs International ShortFest,4
Curtacinema - Rio de Janeiro International Short Film Festival,Milwaukee International Film Festival,4
Encounters Short Film and Animation Festival,Pink Screens,4
Calgary International Film Festival,Melbourne International Film Festival,4
British Independent Film Awards,BAFTA Awards,4
Clermont-Ferrand International Short Film Festival,Milan Film Festival,4
Tallinn Black Nights Film Festival,Sarasota Film Festival,4
Guadalajara International Film Festival,Festival du Nouveau Cinéma,4
Seattle International Film Festival,Cleveland International Film Festival,4
Encounters Short Film and Animation Festival,Filmfest Bremen,4
Toronto International Film Festival,Kurzfilm Festival Hamburg,4
Krakow Film Festival,Chicago International Film Festival,4
Pesaro International Festival of New Cinema,Encounters Short Film and Animation Festival,4
SXSW Film Festival,Guadalajara International Film Festival,4
FEST - New Directors / New Films,Vancouver International Film Festival,4
Ghent Film Festival,Locarno International Film Festival,4
Clermont-Ferrand International Short Film Festival,Outfest: Los Angeles Gay & Lesbian Film Festival,4
Berlin International Film Festival,IndieLisboa International Independent Film Festival,4
Sundance Film Festival,Vancouver International Film Festival,4
Ghent Film Festival,Berlin International Film Festival,4
Milwaukee International Film Festival,DOK Leipzig,4
Milwaukee International Film Festival,Kurzfilm Festival Hamburg,4
Dokufest International Documentary and Short Film Festival,Annecy International Animation Festival,4
Camden International Film Festival,International Film Festival Rotterdam,4
Seattle International Film Festival,Sitges - Catalonian International Film Festival,4
Oberhausen International Short Film Festival,Melbourne International Film Festival,4
Ghent Film Festival,Vilnius International Film Festival (Kino Pavasaris),4
Uppsala Short Film Festival,Guanajuato International Film Festival,4
Seattle International Film Festival,Telluride Film Festival,4
Curtacinema - Rio de Janeiro International Short Film Festival,Guanajuato International Film Festival,4
Raindance Film Festival,Athens International Film and Video Festival,4
Encounters Short Film and Animation Festival,Beyond Fest,4
Riga International Film Festival,Dokufest International Documentary and Short Film Festival,4
Cannes Film Festival,Outfest: Los Angeles Gay & Lesbian Film Festival,4
Kurzfilm Festival Hamburg,Vienna Shorts,4
Toronto International Film Festival,Reykjavik International Film Festival,4
Palm Springs International ShortFest,Moscow International Film Festival,4
Message to Man International Film Festival,Toronto International Film Festival,4
Beijing International Short Film Festival,DOK Leipzig,4
Palm Springs International ShortFest,Sarasota Film Festival,4
Adelaide Film Festival,Melbourne International Film Festival,4
DOK Leipzig,Vilnius International Film Festival (Kino Pavasaris),4
Vienna Shorts,Annecy International Animation Festival,4
Hollyshorts Film Festival,SXSW Film Festival,4
Athens International Film Festival,Curtas Vila do Conde International Film Festival,4
Moscow International Film Festival,Curtas Vila do Conde International Film Festival,4
Krakow Film Festival,Animafest Zagreb,4
San Francisco International Film Festival,Melbourne International Film Festival,4
Sarajevo Film Festival,Melbourne International Film Festival,4
Sundance Film Festival,Philadelphia Film Festival,4
Curtacinema - Rio de Janeiro International Short Film Festival,Uppsala Short Film Festival,4
New York Film Festival,Reykjavik International Film Festival,4
AFI Fest,Raindance Film Festival,4
Brooklyn Film Festival,Krakow Film Festival,4
AFI Fest,Queer Lisboa,4
Oberhausen International Short Film Festival,Dokufest International Documentary and Short Film Festival,4
Tallinn Black Nights Film Festival,Philadelphia Film Festival,4
Annecy International Animation Festival,Mill Valley Film Festival,4
Clermont-Ferrand International Short Film Festival,Brussels Short Film Festival,4
Queer Lisboa,Guanajuato International Film Festival,4
Ann Arbor Film Festival,AFI Fest,4
Encounters Short Film and Animation Festival,Hof International Film Festival,4
Helsinki International Film Festival - Love & Anarchy,Sitges - Catalonian International Film Festival,4
Melbourne International Film Festival,Las Palmas Film Festival,4
Helsinki International Film Festival - Love & Anarchy,Vienna Shorts,4
Hollyshorts Film Festival,BAFTA Awards,4
Clermont-Ferrand International Short Film Festival,Seville European Film Festival,4
Valladolid International Film Festival,IndieLisboa International Independent Film Festival,4
Internationale Kurzfilmtage Winterthur,Go Short - International Short Film Festival Nijmegen,4
DOK Leipzig,Vancouver International Film Festival,4
Bilbao International Festival of Documentary and Short Films,International Film Festival Rotterdam,4
Ottawa International Animation Festival,Sitges - Catalonian International Film Festival,4
Vancouver International Film Festival,Leiden Shorts,4
Krakow Film Festival,Canadian Screen Awards,4
Curtacinema - Rio de Janeiro International Short Film Festival,Edinburgh International Film Festival,4
Uppsala Short Film Festival,Athens International Film and Video Festival,4
SXSW Film Festival,Uppsala Short Film Festival,4
Chicago International Film Festival,Internationale Kurzfilmtage Winterthur,4
Berlin International Film Festival,Annecy International Animation Festival,4
Clermont-Ferrand International Short Film Festival,San Sebastián International Film Festival,4
Ann Arbor Film Festival,Hong Kong International Film Festival,4
Toronto International Film Festival,Dokufest International Documentary and Short Film Festival,4
Milwaukee International Film Festival,Vancouver International Film Festival,4
Montclair Film Festival,Encounters Short Film and Animation Festival,4
Solothurn Film Festival,Palm Springs International ShortFest,4
Vancouver International Film Festival,Melbourne International Film Festival,4
Festival du Nouveau Cinéma,Tirana International Film Festival,4
Cannes Film Festival,Calgary International Film Festival,4
Internationale Kurzfilmtage Winterthur,Vienna Shorts,4
Diagonale: Festival of Austrian Film,Filmfestival Max Ophüls Preis,4
FEST - New Directors / New Films,Berlin International Film Festival,4
Dokufest International Documentary and Short Film Festival,Vancouver International Film Festival,4
Diagonale: Festival of Austrian Film,Dokufest International Documentary and Short Film Festival,4
Krakow Film Festival,Reykjavik International Film Festival,4
Encounters Short Film and Animation Festival,Norwegian International Film Festival,4
Guadalajara International Film Festival,Animafest Zagreb,4
Kurzfilm Festival Hamburg,European Film Awards,4
Queer Lisboa,Frameline: San Francisco International LGBTQ Film Festival,4
Cinéma du Réel,Curtas Vila do Conde International Film Festival,4
Valladolid International Film Festival,Toronto International Film Festival,4
Annecy International Animation Festival,International Film Festival Rotterdam,4
Curtacinema - Rio de Janeiro International Short Film Festival,SXSW Film Festival,4
Irish Film and Television Awards,Galway Film Fleadh,4
Festival du Nouveau Cinéma,International Film Festival Rotterdam,4
SXSW Film Festival,Ottawa International Animation Festival,4
Edinburgh International Film Festival,Guanajuato International Film Festival,4
Solothurn Film Festival,Sitges - Catalonian International Film Festival,4
International Documentary Film Festival Amsterdam,Curtas Vila do Conde International Film Festival,4
Cleveland International Film Festival,Vancouver International Film Festival,4
Internationale Kurzfilmtage Winterthur,Tirana International Film Festival,4
São Paulo International Short Film Festival – Curta Kinoforum,Chicago International Film Festival,4
Curtacinema - Rio de Janeiro International Short Film Festival,Annecy International Animation Festival,4
Sarajevo Film Festival,Athens International Film Festival,4
Ghent Film Festival,Chicago International Film Festival,4
Clermont-Ferrand International Short Film Festival,Philadelphia Film Festival,4
Buenos Aires International Festival of Independent Cinema,Chicago International Film Festival,4
Beijing International Short Film Festival,Kurzfilm Festival Hamburg,4
Helsinki International Film Festival - Love & Anarchy,Beijing International Short Film Festival,4
Seattle International Film Festival,Edinburgh International Film Festival,4
Ann Arbor Film Festival,Toronto International Film Festival,4
SXSW Film Festival,Helsinki International Film Festival - Love & Anarchy,4
Tallinn Black Nights Film Festival,Cleveland International Film Festival,4
AFI Fest,Maryland Film Festival,4
Milwaukee International Film Festival,IndieLisboa International Independent Film Festival,4
Ghent Film Festival,Milan Film Festival,4
Palm Springs International ShortFest,Brussels Short Film Festival,4
Athens International Film Festival,Festival du Nouveau Cinéma,4
Montreal International Documentary Festival,Ann Arbor Film Festival,4
Melbourne International Film Festival,Animafest Zagreb,4
Cannes Film Festival,OFF - Odense International Film Festival,4
Reykjavik International Film Festival,DOK Leipzig,4
DOK Leipzig,Animafest Zagreb,4
Experimental Film and Video Festival in Seoul,International Film Festival Rotterdam,4
Clermont-Ferrand International Short Film Festival,Off-Courts Trouville,4
Leiden Shorts,BFI London Film Festival,4
Telluride Film Festival,Hong Kong International Film Festival,4
Stockholm International Film Festival,Curtas Vila do Conde International Film Festival,4
Encounters Short Film and Animation Festival,Sophia Awards,4
Sarajevo Film Festival,Oberhausen International Short Film Festival,4
Valladolid International Film Festival,Internationale Kurzfilmtage Winterthur,4
Encounters Short Film and Animation Festival,Munich Film Festival,4
Seattle International Film Festival,Sarajevo Film Festival,4
Vancouver International Film Festival,Fantasia Film Festival,4
Encounters Short Film and Animation Festival,Frightfest,4
Queer Lisboa,Melbourne International Film Festival,4
Encounters Short Film and Animation Festival,Fribourg International Film Festival,4
Academy Awards,Chicago International Film Festival,4
Clermont-Ferrand International Short Film Festival,Miami International Film Festival,4
