festival_a,festival_b,shared_film_count
Clermont-Ferrand International Short Film Festival,Uppsala Short Film Festival,8
BFI London Film Festival,Melbourne International Film Festival,8
Palm Springs International ShortFest,Vilnius International Film Festival (Kino Pavasaris),8
Tallinn Black Nights Film Festival,Animafest Zagreb,8
Krakow Film Festival,Dokufest International Documentary and Short Film Festival,8
Festival du Nouveau Cinéma,Melbourne International Film Festival,8
Krakow Film Festival,Internationale Kurzfilmtage Winterthur,8
São Paulo International Short Film Festival – Curta Kinoforum,Curtas Vila do Conde International Film Festival,8
AFI Fest,Helsinki International Film Festival - Love & Anarchy,8
Guanajuato International Film Festival,BFI London Film Festival,8
Krakow Film Festival,Warsaw International Film Festival,8
Sundance Film Festival,Annecy International Animation Festival,8
Toronto International Film Festival,Milwaukee International Film Festival,8
Encounters Short Film and Animation Festival,Toronto Reel Asian Film Festival,8
IndieLisboa International Independent Film Festival,Curtas Vila do Conde International Film Festival,8
Athens International Film and Video Festival,Kurzfilm Festival Hamburg,8
SXSW Film Festival,Annecy International Animation Festival,8
Ghent Film Festival,Clermont-Ferrand International Short Film Festival,8
Palm Springs International ShortFest,Animafest Zagreb,8
Krakow Film Festival,Curtas Vila do Conde International Film Festival,8
Bilbao International Festival of Documentary and Short Films,Toronto International Film Festival,8
Palm Springs International ShortFest,Sitges - Catalonian International Film Festival,8
Palm Springs International ShortFest,Outfest: Los Angeles Gay & Lesbian Film Festival,8
Seattle International Film Festival,Athens International Film and Video Festival,8
IndieLisboa International Independent Film Festival,Melbourne International Film Festival,8
Ann Arbor Film Festival,Athens International Film and Video Festival,8
Helsinki International Film Festival - Love & Anarchy,Annecy International Animation Festival,8
Encounters Short Film and Animation Festival,Venice Film Festival,8
Encounters Short Film and Animation Festival,Leeds International Film Festival,8
Tallinn Black Nights Film Festival,European Film Awards,8
Valladolid International Film Festival,Festival du Nouveau Cinéma,8
Guanajuato International Film Festival,DOK Leipzig,8
Internationale Kurzfilmtage Winterthur,Riga International Film Festival,8
Clermont-Ferrand International Short Film Festival,Calgary International Film Festival,8
Clermont-Ferrand International Short Film Festival,Valladolid International Film Festival,8
Clermont-Ferrand International Short Film Festival,Sundance Film Festival,8
Chicago International Film Festival,Curtas Vila do Conde International Film Festival,8
Seville European Film Festival,Tallinn Black Nights Film Festival,8
Toronto International Film Festival,BFI London Film Festival,8
Clermont-Ferrand International Short Film Festival,Reykjavik International Film Festival,8
Ghent Film Festival,Internationale Kurzfilmtage Winterthur,8
Bilbao International Festival of Documentary and Short Films,Athens International Film and Video Festival,8
Helsinki International Film Festival - Love & Anarchy,Festival du Nouveau Cinéma,8
FIRST International Film Festival Xining,Encounters Short Film and Animation Festival,8
Clermont-Ferrand International Short Film Festival,Sarajevo Film Festival,8
Academy Awards,Encounters Short Film and Animation Festival,8
Chicago International Film Festival,Melbourne International Film Festival,8
FEST - New Directors / New Films,Festival du Nouveau Cinéma,8
Cannes Film Festival,Athens International Film and Video Festival,8
Palm Springs International ShortFest,Dokufest International Documentary and Short Film Festival,8
Seattle International Film Festival,Helsinki International Film Festival - Love & Anarchy,8
DOK Leipzig,Melbourne International Film Festival,8
Oberhausen International Short Film Festival,Festival du Nouveau Cinéma,8
Bilbao International Festival of Documentary and Short Films,Reykjavik International Film Festival,8
Encounters Short Film and Animation Festival,Tromsø International Film Festival,8
Palm Springs International ShortFest,Slamdance Film Festival,8
Clermont-Ferrand International Short Film Festival,Toronto International Film Festival,8
Encounters Short Film and Animation Festival,Karlovy Vary International Film Festival,8
Clermont-Ferrand International Short Film Festival,Vancouver International Film Festival,8
São Paulo International Short Film Festival – Curta Kinoforum,Festival du Nouveau Cinéma,8
Sarajevo Film Festival,Festival du Nouveau Cinéma,8
Seattle International Film Festival,Calgary International Film Festival,8
Bilbao International Festival of Documentary and Short Films,Curtas Vila do Conde International Film Festival,8
Athens International Film and Video Festival,Vancouver International Film Festival,8
Seattle International Film Festival,AFI Fest,8
Ottawa International Animation Festival,Hong Kong International Film Festival,8
Guadalajara International Film Festival,Palm Springs International ShortFest,8
Encounters Short Film and Animation Festival,Hot Docs Canadian International Documentary Festival,8
Encounters Short Film and Animation Festival,Sydney Film Festival,8
Krakow Film Festival,European Film Awards,8
Krakow Film Festival,Valladolid International Film Festival,7
Encounters Short Film and Animation Festival,São Paulo International Film Festival,7
São Paulo International Short Film Festival – Curta Kinoforum,Seville European Film Festival,7
Tampere Film Festival,Encounters Short Film and Animation Festival,7
Message to Man International Film Festival,Festival du Nouveau Cinéma,7
Sarajevo Film Festival,Curtas Vila do Conde International Film Festival,7
Sundance Film Festival,Internationale Kurzfilmtage Winterthur,7
Athens International Film and Video Festival,Dokufest International Documentary and Short Film Festival,7
IndieLisboa International Independent Film Festival,Vancouver International Film Festival,7
Athens International Film and Video Festival,Festival du Nouveau Cinéma,7
São Paulo International Short Film Festival – Curta Kinoforum,Annecy International Animation Festival,7
Helsinki International Film Festival - Love & Anarchy,Landshut Short Film Festival,7
Ghent Film Festival,Hong Kong International Film Festival,7
Chicago International Film Festival,Toronto International Film Festival,7
Palm Springs International ShortFest,Philadelphia Film Festival,7
Kurzfilm Festival Hamburg,Curtas Vila do Conde International Film Festival,7
Dokufest International Documentary and Short Film Festival,Vilnius International Film Festival (Kino Pavasaris),7
Seattle International Film Festival,Hong Kong International Film Festival,7
Ghent Film Festival,Festival du Nouveau Cinéma,7
Krakow Film Festival,Vancouver International Film Festival,7
Encounters Short Film and Animation Festival,Galway Film Fleadh,7
Sundance Film Festival,Melbourne International Film Festival,7
New Zealand International Film Festival,Encounters Short Film and Animation Festival,7
SXSW Film Festival,Melbourne International Film Festival,7
São Paulo International Short Film Festival – Curta Kinoforum,Guanajuato International Film Festival,7
Helsinki International Film Festival - Love & Anarchy,Toronto International Film Festival,7
Sundance Film Festival,Milwaukee International Film Festival,7
Fargo Film Festival,Encounters Short Film and Animation Festival,7
Kurzfilm Festival Hamburg,Vilnius International Film Festival (Kino Pavasaris),7
Helsinki International Film Festival - Love & Anarchy,Dokufest International Documentary and Short Film Festival,7
Clermont-Ferrand International Short Film Festival,Riga International Film Festival,7
Curtacinema - Rio de Janeiro International Short Film Festival,Festival du Nouveau Cinéma,7
Viennale,Curtas Vila do Conde International Film Festival,7
SXSW Film Festival,Chicago International Film Festival,7
Jerusalem Film Festival,Encounters Short Film and Animation Festival,7
Academy Awards,Palm Springs International ShortFest,7
Clermont-Ferrand International Short Film Festival,San Francisco International Film Festival,7
Chicago International Film Festival,Guanajuato International Film Festival,7
Ghent Film Festival,Dokufest International Documentary and Short Film Festival,7
Raindance Film Festival,Guanajuato International Film Festival,7
Oberhausen International Short Film Festival,IndieLisboa International Independent Film Festival,7
Helsinki International Film Festival - Love & Anarchy,Kurzfilm Festival Hamburg,7
Encounters Short Film and Animation Festival,Sheffield International Documentary Festival,7
Encounters Short Film and Animation Festival,Durban International Film Festival,7
Valladolid International Film Festival,Annecy International Animation Festival,7
Buenos Aires International Festival of Independent Cinema,Palm Springs International ShortFest,7
Krakow Film Festival,Athens International Film and Video Festival,7
Encounters Short Film and Animation Festival,London Critics Circle Film Awards,7
Palm Springs International ShortFest,Oberhausen International Short Film Festival,7
Ottawa International Animation Festival,Athens International Film and Video Festival,7
Krakow Film Festival,DOK Leipzig,7
Toronto International Film Festival,Hong Kong International Film Festival,7
Cannes Film Festival,Dokufest International Documentary and Short Film Festival,7
Kurzfilm Festival Hamburg,Festival du Nouveau Cinéma,7
Curtacinema - Rio de Janeiro International Short Film Festival,Palm Springs International ShortFest,7
Calgary International Film Festival,Milwaukee International Film Festival,7
Tallinn Black Nights Film Festival,International Film Festival Rotterdam,7
Hollyshorts Film Festival,Palm Springs International ShortFest,7
SXSW Film Festival,DOK Leipzig,7
Guanajuato International Film Festival,Cleveland International Film Festival,7
Curtacinema - Rio de Janeiro International Short Film Festival,Athens International Film and Video Festival,7
Palm Springs International ShortFest,Cleveland International Film Festival,7
Melbourne International Film Festival,International Film Festival Rotterdam,7
Internationale Kurzfilmtage Winterthur,Sarajevo Film Festival,7
